CRE;type candidature;genre;Affectés_pilote
Tunis 1;Libre;Feminin;0
Tunis 1;Libre;Masculin;
Tunis 1;Privé;Feminin;32
Tunis 1;Privé;Masculin;19
Tunis 1;Public;Feminin;147
Tunis 1;Public;Masculin;107
Tunis 2;Libre;Feminin;
Tunis 2;Privé;Feminin;25
Tunis 2;Privé;Masculin;17
Tunis 2;Public;Feminin;66
Tunis 2;Public;Masculin;45
Ariana;Libre;Feminin;
Ariana;Privé;Feminin;17
Ariana;Privé;Masculin;11
Ariana;Public;Feminin;101
Ariana;Public;Masculin;77
Mannouba;Privé;Feminin;5
Mannouba;Privé;Masculin;3
Mannouba;Public;Feminin;63
Mannouba;Public;Masculin;36
Ben Arous;Libre;Feminin;0
Ben Arous;Privé;Feminin;20
Ben Arous;Privé;Masculin;13
Ben Arous;Public;Feminin;98
Ben Arous;Public;Masculin;88
Zaghouan;Privé;Feminin;3
Zaghouan;Privé;Masculin;1
Zaghouan;Public;Feminin;20
Zaghouan;Public;Masculin;9
Bizerte;Privé;Feminin;29
Bizerte;Privé;Masculin;10
Bizerte;Public;Feminin;76
Bizerte;Public;Masculin;35
Béja;Privé;Feminin;1
Béja;Privé;Masculin;
Béja;Public;Feminin;40
Béja;Public;Masculin;29
Jendouba;Libre;Masculin;
Jendouba;Public;Feminin;70
Jendouba;Public;Masculin;48
Siliana;Public;Feminin;28
Siliana;Public;Masculin;20
Le Kef;Public;Feminin;51
Le Kef;Public;Masculin;26
Kasserine;Libre;Feminin;0
Kasserine;Privé;Feminin;11
Kasserine;Privé;Masculin;2
Kasserine;Public;Feminin;67
Kasserine;Public;Masculin;33
Sidi Bouzid;Privé;Feminin;11
Sidi Bouzid;Privé;Masculin;7
Sidi Bouzid;Public;Feminin;60
Sidi Bouzid;Public;Masculin;49
Gafsa;Privé;Feminin;9
Gafsa;Privé;Masculin;8
Gafsa;Public;Feminin;80
Gafsa;Public;Masculin;55
Tozeur;Privé;Feminin;2
Tozeur;Privé;Masculin;4
Tozeur;Public;Feminin;11
Tozeur;Public;Masculin;8
Kébili;Privé;Feminin;2
Kébili;Privé;Masculin;0
Kébili;Public;Feminin;22
Kébili;Public;Masculin;17
Tataouine;Public;Feminin;14
Tataouine;Public;Masculin;13
Médenine;Privé;Feminin;8
Médenine;Privé;Masculin;3
Médenine;Public;Feminin;64
Médenine;Public;Masculin;52
Gabès;Privé;Feminin;6
Gabès;Privé;Masculin;6
Gabès;Public;Feminin;53
Gabès;Public;Masculin;51
Sfax 1;Privé;Feminin;5
Sfax 1;Privé;Masculin;4
Sfax 1;Public;Feminin;162
Sfax 1;Public;Masculin;126
Sfax 2;Libre;Feminin;0
Sfax 2;Privé;Feminin;0
Sfax 2;Privé;Masculin;1
Sfax 2;Public;Feminin;48
Sfax 2;Public;Masculin;25
Mahdia;Privé;Feminin;1
Mahdia;Privé;Masculin;1
Mahdia;Public;Feminin;44
Mahdia;Public;Masculin;29
Kairouan;Libre;Feminin;0
Kairouan;Libre;Masculin;
Kairouan;Privé;Feminin;40
Kairouan;Privé;Masculin;24
Kairouan;Public;Feminin;61
Kairouan;Public;Masculin;52
Monastir;Libre;Feminin;0
Monastir;Libre;Masculin;
Monastir;Privé;Feminin;29
Monastir;Privé;Masculin;19
Monastir;Public;Feminin;86
Monastir;Public;Masculin;67
Sousse;Libre;Feminin;0
Sousse;Privé;Feminin;47
Sousse;Privé;Masculin;46
Sousse;Public;Feminin;100
Sousse;Public;Masculin;84
Nabeul;Libre;Feminin;
Nabeul;Libre;Masculin;1
Nabeul;Privé;Feminin;23
Nabeul;Privé;Masculin;6
Nabeul;Public;Feminin;97
Nabeul;Public;Masculin;73
