CRE;Annee_naissance;genre;Effectif des inscrits
Tunis 1;2006;Feminin;1
Tunis 1;2006;Masculin;2
Tunis 1;2007;Feminin;6
Tunis 1;2007;Masculin;6
Tunis 1;2008;Feminin;26
Tunis 1;2008;Masculin;11
Tunis 1;2009;Feminin;1084
Tunis 1;2009;Masculin;733
Tunis 1;2010;Feminin;104
Tunis 1;2010;Masculin;64
Tunis 2;2006;Feminin;1
Tunis 2;2006;Masculin;1
Tunis 2;2007;Feminin;1
Tunis 2;2007;Masculin;1
Tunis 2;2008;Feminin;17
Tunis 2;2008;Masculin;7
Tunis 2;2009;Feminin;889
Tunis 2;2009;Masculin;598
Tunis 2;2010;Feminin;101
Tunis 2;2010;Masculin;51
Ariana;2006;Masculin;1
Ariana;2007;Feminin;2
Ariana;2007;Masculin;2
Ariana;2008;Feminin;21
Ariana;2008;Masculin;9
Ariana;2009;Feminin;936
Ariana;2009;Masculin;685
Ariana;2010;Feminin;87
Ariana;2010;Masculin;61
Mannouba;2008;Feminin;11
Mannouba;2008;Masculin;7
Mannouba;2009;Feminin;751
Mannouba;2009;Masculin;451
Mannouba;2010;Feminin;63
Mannouba;2010;Masculin;25
Ben Arous;2007;Feminin;3
Ben Arous;2007;Masculin;3
Ben Arous;2008;Feminin;14
Ben Arous;2008;Masculin;10
Ben Arous;2009;Feminin;1292
Ben Arous;2009;Masculin;905
Ben Arous;2010;Feminin;146
Ben Arous;2010;Masculin;100
Zaghouan;2007;Feminin;2
Zaghouan;2008;Feminin;3
Zaghouan;2008;Masculin;3
Zaghouan;2009;Feminin;303
Zaghouan;2009;Masculin;147
Zaghouan;2010;Feminin;24
Zaghouan;2010;Masculin;13
Bizerte;2006;Feminin;1
Bizerte;2007;Feminin;1
Bizerte;2007;Masculin;1
Bizerte;2008;Feminin;10
Bizerte;2008;Masculin;6
Bizerte;2009;Feminin;963
Bizerte;2009;Masculin;472
Bizerte;2010;Feminin;81
Bizerte;2010;Masculin;47
Bizerte;2011;Feminin;1
Béja;2008;Feminin;5
Béja;2008;Masculin;1
Béja;2009;Feminin;468
Béja;2009;Masculin;269
Béja;2010;Feminin;52
Béja;2010;Masculin;30
Jendouba;2007;Feminin;2
Jendouba;2008;Feminin;12
Jendouba;2008;Masculin;5
Jendouba;2009;Feminin;541
Jendouba;2009;Masculin;255
Jendouba;2010;Feminin;47
Jendouba;2010;Masculin;24
Siliana;2007;Masculin;1
Siliana;2008;Feminin;4
Siliana;2008;Masculin;2
Siliana;2009;Feminin;322
Siliana;2009;Masculin;189
Siliana;2010;Feminin;29
Siliana;2010;Masculin;18
Le Kef;2008;Masculin;3
Le Kef;2009;Feminin;332
Le Kef;2009;Masculin;200
Le Kef;2010;Feminin;34
Le Kef;2010;Masculin;13
